"id_str","text"
"1274650678531514375","RT @RoroMendut__: Saya bingung dg boss @lokataru_id si Haris Azhar. Dia itu ngaku pembela kemanusiaan, tapi dalam kasus penganiayaan dan pembunuhan kasus pencuri burung walet di Bengkulu yg melibatkan Novel Baswedan, dia malah membela si penganiaya/pembunuh. Kan kebalik!   https://t.co/FnexhtDVW2"
"1274649830615220224","RT @JKDaulay: ""Ada beberapa hal janggal dari semua hal yang dialami, dari rekaman CCTV, bentuk luka, perban, dan kepala yang diperban. Tapi, tiba-tiba malah mata yang buta,"" kata Dewi.
https://t.co/2KNVEC5cdn

gimmick dihiasi dengan playing victim.
kadrun banget 😁

#BasmiCovidDanKadrunKomunis"
"1274649809165488128","RT @nazaqistsha: Pengertian SENGAJA adl pelajaran dasar hukum pembuktian. Kalo penegak hukum nggak paham, brgkl ada mahasiswa hukum yg berkenan mengajari??
itulah pentingnya intelektualitas bergandengan dgn moral.. 
https://t.co/ME4FIHQXkP"
"1274649424250015745","[BREAKING] Haris Azhar (Lokataru) menyatakan, ""Novel Baswedan sebagai korban terlanggar haknya-tetapi belum ada penegakan hukum yang paripurna untuk menyelesaikan peristiwa pelanggaran HAM ini."" https://t.co/JT4WUcz3Kr"
"1274648689470922757","RT @Aryprasetyo85: #RekayasaDidzolimi 
Eksekusi penembakan dilakukan pada malam hari.

Novel tampak menembak kaki kiri Erwansyah menggunakan senjata api jenis revolver berisi enam peluru hingga tersangka tersungkur. Lalu Novel juga menembak kaki kanan Dedi Muryadi.
https://t.co/tu6QB5mOjN"
"1274648497707352064","RT @Dr_Luck15: PENCURI SARANG BURUNG WALET UNGKAP KEBIADABAN NOVEL BASWEDAN. Tolong :
@jokowi
@DivHumas_Polri
@BareskrimPolri @CCICPolri tolong berikan KEADILAN buat mereka, jng ada DUSTA diantara kita. Buka kembali kasus mereka. https://t.co/Tk1CbC3NTR"
"1274648234418298880","RT @UmarSyadatHs: Najwa sihab kritik DPR mau diperkarakan secara hukum oleh arteri dahlan. Bintang temon dukung novel baswedan skrg ketakutan krn dibully. Potret gelap demokrasi indonesia. Kebenaran dan keadilan sdh wassalam."
"1274648155674431488","RT @TirtoID: ""Selamat ulang tahun Pak Presiden Jokowi. Semoga bapak tetap ingat dan peduli dengan masalah kemanusiaan dan penegakan hukum yang sangat perlu sikap keberpihakan bapak,"" kata Novel Baswedan.

https://t.co/vlyVP5YBnu"
"1274648132995805184","RT @dikisahkeun: @kepersekutuanm @brizcky98 @dapppoy @txtdrberseragam Ngelacak begituan aja cepet, semangat 45, kasus kasus dari zaman orba, sampe kasus novel baswedan aja lamaaa bet, kaga jelas lagi."
"1274647689221689344","RT @narkosun: Mata Najwa @MataNajwa menayangkan rekam medis Novel Baswedan saat dirawat di Singapura.

Setahun yg lalu, bukannya rekam medis ini sudah viral ya? Ada yg bilang hoax dan janggal. 

Sekarang malah rame lagi krn ditayangkan di tv nasional. https://t.co/TV9B9PSewj"
